Antibiotic	Laboratory typing method	Laboratory typing method version or reagent	Laboratory typing platform	Measurement	Measurement sign	Measurement units	Resistance phenotype	Testing standard	Vendor
amikacin	MIC			1	<=	mg/L	susceptible	CLSI	
amoxicillin-clavulanic acid	MIC			32/16	>	mg/L	not defined	CLSI	
ampicillin	MIC			32	>	mg/L	not defined	CLSI	
ampicillin-sulbactam	MIC			8/4	==	mg/L	susceptible	CLSI	
aztreonam	MIC			64	>	mg/L	not defined	CLSI	
cefazolin	MIC			8	>	mg/L	not defined	CLSI	
cefepime	MIC			4	==	mg/L	susceptible	CLSI	
cefotaxime	MIC			64	>	mg/L	resistant	CLSI	
cefoxitin	MIC			16	>	mg/L	not defined	CLSI	
ceftazidime	MIC			16	==	mg/L	intermediate	CLSI	
ceftriaxone	MIC			32	==	mg/L	intermediate	CLSI	
ciprofloxacin	MIC			8	>	mg/L	resistant	CLSI	
colistin	MIC			0.5	==	mg/L	susceptible	CLSI	
doripenem	MIC			8	==	mg/L	resistant	CLSI	
ertapenem	MIC			8	>	mg/L	not defined	CLSI	
gentamicin	MIC			16	==	mg/L	resistant	CLSI	
imipenem	MIC			32	==	mg/L	resistant	CLSI	
levofloxacin	MIC			8	==	mg/L	resistant	CLSI	
meropenem	MIC			8	>	mg/L	resistant	CLSI	
piperacillin-tazobactam	MIC			128/4	>	mg/L	resistant	CLSI	
polymyxin B	MIC			0.5	==	mg/L	susceptible	CLSI	
tetracycline	MIC			4	==	mg/L	susceptible	CLSI	
tigecycline	MIC			0.5	<=	mg/L	not defined	CLSI	
tobramycin	MIC			16	==	mg/L	resistant	CLSI	
trimethoprim-sulfamethoxazole	MIC			8/152	>	mg/L	resistant	CLSI	
