Antibiotic	Laboratory typing method	Laboratory typing method version or reagent	Laboratory typing platform	Measurement	Measurement sign	Measurement units	Resistance phenotype	Testing standard	Vendor
amikacin	MIC			8	==	mg/L	susceptible	CLSI	
amoxicillin-clavulanic acid	MIC			16/8	==	mg/L	intermediate	CLSI	
ampicillin	MIC			32	>	mg/L	resistant	CLSI	
ampicillin-sulbactam	MIC			8/4	==	mg/L	susceptible	CLSI	
aztreonam	MIC			2	<=	mg/L	susceptible	CLSI	
cefazolin	MIC			8	>	mg/L	resistant	CLSI	
cefepime	MIC			0.5	<=	mg/L	susceptible	CLSI	
cefotaxime	MIC			0.5	<=	mg/L	susceptible	CLSI	
cefoxitin	MIC			4	==	mg/L	susceptible	CLSI	
ceftazidime	MIC			1	<=	mg/L	susceptible	CLSI	
ceftriaxone	MIC			1	<=	mg/L	resistant	CLSI	
ciprofloxacin	MIC			8	==	mg/L	resistant	CLSI	
colistin	MIC			8	>	mg/L	not defined	CLSI	
doripenem	MIC			4	==	mg/L	resistant	CLSI	
ertapenem	MIC			1	==	mg/L	intermediate	CLSI	
gentamicin	MIC			4	==	mg/L	susceptible	CLSI	
imipenem	MIC			16	==	mg/L	resistant	CLSI	
levofloxacin	MIC			2	==	mg/L	susceptible	CLSI	
meropenem	MIC			0.5	==	mg/L	susceptible	CLSI	
piperacillin-tazobactam	MIC			4/4	<=	mg/L	susceptible	CLSI	
polymyxin B	MIC			8	>	mg/L	not defined	CLSI	
tetracycline	MIC			32	==	mg/L	resistant	CLSI	
tigecycline	MIC			1	==	mg/L	susceptible	CLSI	
tobramycin	MIC			16	>	mg/L	resistant	CLSI	
trimethoprim-sulfamethoxazole	MIC			8/152	>	mg/L	resistant	CLSI	
