Antibiotic	Laboratory typing method	Laboratory typing method version or reagent	Laboratory typing platform	Measurement	Measurement sign	Measurement units	Resistance phenotype	Testing standard	Vendor
amikacin	MIC			64	>	mg/L	resistant	CLSI	
amoxicillin-clavulanic acid	MIC			32/16	>	mg/L	not defined	CLSI	
ampicillin	MIC			32	>	mg/L	not defined	CLSI	
ampicillin-sulbactam	MIC			8/4	==	mg/L	susceptible	CLSI	
aztreonam	MIC			64	==	mg/L	not defined	CLSI	
cefazolin	MIC			8	>	mg/L	not defined	CLSI	
cefepime	MIC			32	==	mg/L	resistant	CLSI	
cefotaxime	MIC			64	>	mg/L	resistant	CLSI	
cefoxitin	MIC			16	>	mg/L	not defined	CLSI	
ceftazidime	MIC			64	==	mg/L	resistant	CLSI	
ceftriaxone	MIC			32	>	mg/L	resistant	CLSI	
ciprofloxacin	MIC			8	>	mg/L	resistant	CLSI	
colistin	MIC			1	==	mg/L	susceptible	CLSI	
doripenem	MIC			4	==	mg/L	intermediate	CLSI	
ertapenem	MIC			8	>	mg/L	not defined	CLSI	
gentamicin	MIC			16	>	mg/L	resistant	CLSI	
imipenem	MIC			2	==	mg/L	susceptible	CLSI	
levofloxacin	MIC			8	>	mg/L	resistant	CLSI	
meropenem	MIC			4	==	mg/L	intermediate	CLSI	
piperacillin-tazobactam	MIC			128/4	>	mg/L	resistant	CLSI	
polymyxin B	MIC			1	==	mg/L	susceptible	CLSI	
tetracycline	MIC			32	>	mg/L	resistant	CLSI	
tigecycline	MIC			2	==	mg/L	not defined	CLSI	
tobramycin	MIC			16	>	mg/L	resistant	CLSI	
trimethoprim-sulfamethoxazole	MIC			8/152	>	mg/L	resistant	CLSI	
