Antibiotic	Laboratory typing method	Laboratory typing method version or reagent	Laboratory typing platform	Measurement	Measurement sign	Measurement units	Resistance phenotype	Testing standard	Vendor
amikacin	MIC			2	==	mg/L	susceptible	CLSI	
amoxicillin-clavulanic acid	MIC			4/2	==	mg/L	susceptible	CLSI	
ampicillin	MIC			4	==	mg/L	susceptible	CLSI	
ampicillin-sulbactam	MIC			4/2	==	mg/L	susceptible	CLSI	
aztreonam	MIC			2	<=	mg/L	susceptible	CLSI	
cefazolin	MIC			2	==	mg/L	susceptible	CLSI	
cefepime	MIC			0.5	<=	mg/L	susceptible	CLSI	
cefotaxime	MIC			0.5	<=	mg/L	susceptible	CLSI	
cefoxitin	MIC			4	==	mg/L	susceptible	CLSI	
ceftazidime	MIC			1	<=	mg/L	susceptible	CLSI	
ceftriaxone	MIC			1	<=	mg/L	susceptible	CLSI	
ciprofloxacin	MIC			0.25	<=	mg/L	susceptible	CLSI	
colistin	MIC			0.5	==	mg/L	not defined	CLSI	
doripenem	MIC			0.12	<=	mg/L	susceptible	CLSI	
ertapenem	MIC			0.12	<=	mg/L	susceptible	CLSI	
gentamicin	MIC			1	==	mg/L	susceptible	CLSI	
imipenem	MIC			0.5	<=	mg/L	susceptible	CLSI	
levofloxacin	MIC			0.12	<=	mg/L	susceptible	CLSI	
meropenem	MIC			0.12	<=	mg/L	susceptible	CLSI	
piperacillin-tazobactam	MIC			4/4	==	mg/L	susceptible	CLSI	
polymyxin B	MIC			0.5	==	mg/L	not defined	CLSI	
tetracycline	MIC			2	<=	mg/L	susceptible	CLSI	
tigecycline	MIC			0.5	<=	mg/L	susceptible	CLSI	
tobramycin	MIC			1	==	mg/L	susceptible	CLSI	
trimethoprim-sulfamethoxazole	MIC			0.5/9.5	<=	mg/L	susceptible	CLSI	
