Antibiotic	Laboratory typing method	Laboratory typing method version or reagent	Laboratory typing platform	Measurement	Measurement sign	Measurement units	Resistance phenotype	Testing standard	Vendor
amikacin	MIC			2	==	mg/L	susceptible	CLSI	
amoxicillin-clavulanic acid	MIC			32/16	>	mg/L	resistant	CLSI	
ampicillin	MIC			32	>	mg/L	resistant	CLSI	
ampicillin-sulbactam	MIC			32/16	>	mg/L	resistant	CLSI	
aztreonam	MIC			64	>	mg/L	resistant	CLSI	
cefazolin	MIC			8	>	mg/L	resistant	CLSI	
cefepime	MIC			8	==	mg/L	susceptible-dose dependent	CLSI	
cefotaxime	MIC			64	>	mg/L	resistant	CLSI	
cefoxitin	MIC			16	>	mg/L	resistant	CLSI	
ceftazidime	MIC			128	>	mg/L	resistant	CLSI	
ceftriaxone	MIC			32	>	mg/L	resistant	CLSI	
ciprofloxacin	MIC			0.25	<=	mg/L	susceptible	CLSI	
colistin	MIC			1	==	mg/L	not defined	CLSI	
doripenem	MIC			0.12	<=	mg/L	susceptible	CLSI	
ertapenem	MIC			1	==	mg/L	intermediate	CLSI	
gentamicin	MIC			0.5	==	mg/L	susceptible	CLSI	
imipenem	MIC			0.5	<=	mg/L	susceptible	CLSI	
levofloxacin	MIC			0.5	==	mg/L	susceptible	CLSI	
meropenem	MIC			0.12	<=	mg/L	susceptible	CLSI	
piperacillin-tazobactam	MIC			128/4	>	mg/L	resistant	CLSI	
polymyxin B	MIC			0.5	==	mg/L	not defined	CLSI	
tetracycline	MIC			8	==	mg/L	intermediate	CLSI	
tigecycline	MIC			4	==	mg/L	intermediate	CLSI	
tobramycin	MIC			0.5	==	mg/L	susceptible	CLSI	
trimethoprim-sulfamethoxazole	MIC			0.5/9.5	<=	mg/L	susceptible	CLSI	
