Antibiotic	Laboratory typing method	Laboratory typing method version or reagent	Laboratory typing platform	Measurement	Measurement sign	Measurement units	Resistance phenotype	Testing standard	Vendor
amikacin	MIC			32	==	mg/L	intermediate	CLSI	
amoxicillin-clavulanic acid	MIC			32/16	>	mg/L	resistant	CLSI	
ampicillin	MIC			64	>	mg/L	resistant	CLSI	
aztreonam	MIC			64	>	mg/L	resistant	CLSI	
cefazolin	MIC			32	>	mg/L	resistant	CLSI	
cefepime	MIC			32	>	mg/L	resistant	CLSI	
cefotaxime	MIC			64	>	mg/L	resistant	CLSI	
cefoxitin	MIC			32	>	mg/L	resistant	CLSI	
ceftazidime	MIC			128	>	mg/L	resistant	CLSI	
ceftriaxone	MIC			64	>	mg/L	resistant	CLSI	
ciprofloxacin	MIC			8	>	mg/L	resistant	CLSI	
doripenem	MIC			8	>	mg/L	resistant	CLSI	
ertapenem	MIC			8	>	mg/L	resistant	CLSI	
gentamicin	MIC			16	>	mg/L	resistant	CLSI	
imipenem	MIC			64	>	mg/L	resistant	CLSI	
levofloxacin	MIC			8	>	mg/L	resistant	CLSI	
meropenem	MIC			8	>	mg/L	resistant	CLSI	
piperacillin-tazobactam	MIC			128/4	>	mg/L	resistant	CLSI	
polymyxin B	MIC			2	==	mg/L	not defined	CLSI	
tetracycline	MIC			4	==	mg/L	susceptible	CLSI	
tobramycin	MIC			16	>	mg/L	resistant	CLSI	
trimethoprim-sulfamethoxazole	MIC			8/152	>	mg/L	resistant	CLSI	
