Antibiotic	Laboratory typing method	Laboratory typing method version or reagent	Laboratory typing platform	Measurement	Measurement sign	Measurement units	Resistance phenotype	Testing standard	Vendor
amikacin	MIC			1	<=	mg/L	susceptible	CLSI	
amoxicillin-clavulanic acid	MIC			32/16	==	mg/L	resistant	CLSI	
ampicillin	MIC			32	>	mg/L	resistant	CLSI	
ampicillin-sulbactam	MIC			32/16	>	mg/L	resistant	CLSI	
aztreonam	MIC			4	==	mg/L	susceptible	CLSI	
cefazolin	MIC			8	>	mg/L	resistant	CLSI	
cefepime	MIC			1	==	mg/L	susceptible	CLSI	
cefotaxime	MIC			1	==	mg/L	susceptible	CLSI	
cefoxitin	MIC			4	==	mg/L	susceptible	CLSI	
ceftazidime	MIC			4	==	mg/L	susceptible	CLSI	
ceftriaxone	MIC			4	==	mg/L	resistant	CLSI	
ciprofloxacin	MIC			0.25	<=	mg/L	susceptible	CLSI	
colistin	MIC			0.5	==	mg/L	not defined	CLSI	
doripenem	MIC			0.5	==	mg/L	susceptible	CLSI	
ertapenem	MIC			0.5	==	mg/L	susceptible	CLSI	
gentamicin	MIC			8	==	mg/L	intermediate	CLSI	
imipenem	MIC			4	==	mg/L	resistant	CLSI	
levofloxacin	MIC			0.12	<=	mg/L	susceptible	CLSI	
meropenem	MIC			1	==	mg/L	susceptible	CLSI	
piperacillin-tazobactam	MIC			16/4	==	mg/L	susceptible	CLSI	
polymyxin B	MIC			0.5	==	mg/L	not defined	CLSI	
tetracycline	MIC			2	<=	mg/L	susceptible	CLSI	
tigecycline	MIC			0.5	<=	mg/L	susceptible	CLSI	
tobramycin	MIC			8	==	mg/L	intermediate	CLSI	
trimethoprim-sulfamethoxazole	MIC			8/152	>	mg/L	resistant	CLSI	
