Antibiotic	Laboratory typing method	Laboratory typing method version or reagent	Laboratory typing platform	Measurement	Measurement sign	Measurement units	Resistance phenotype	Testing standard	Vendor
amikacin	MIC			1	<=	mg/L	susceptible	CLSI	
amoxicillin-clavulanic acid	MIC			32/16	>	mg/L	not defined	CLSI	
ampicillin	MIC			32	>	mg/L	not defined	CLSI	
ampicillin-sulbactam	MIC			32/16	>	mg/L	not defined	CLSI	
aztreonam	MIC			32	==	mg/L	resistant	CLSI	
cefazolin	MIC			8	>	mg/L	not defined	CLSI	
cefepime	MIC			8	==	mg/L	susceptible	CLSI	
cefotaxime	MIC			64	>	mg/L	not defined	CLSI	
cefoxitin	MIC			16	>	mg/L	not defined	CLSI	
ceftazidime	MIC			8	==	mg/L	susceptible	CLSI	
ceftriaxone	MIC			32	>	mg/L	not defined	CLSI	
ciprofloxacin	MIC			8	>	mg/L	resistant	CLSI	
colistin	MIC			2	==	mg/L	susceptible	CLSI	
doripenem	MIC			4	==	mg/L	intermediate	CLSI	
ertapenem	MIC			8	>	mg/L	not defined	CLSI	
gentamicin	MIC			0.25	<=	mg/L	susceptible	CLSI	
imipenem	MIC			32	==	mg/L	resistant	CLSI	
levofloxacin	MIC			8	>	mg/L	resistant	CLSI	
meropenem	MIC			8	>	mg/L	resistant	CLSI	
piperacillin-tazobactam	MIC			32/4	==	mg/L	intermediate	CLSI	
polymyxin B	MIC			2	==	mg/L	susceptible	CLSI	
tetracycline	MIC			32	==	mg/L	not defined	CLSI	
tigecycline	MIC			4	==	mg/L	not defined	CLSI	
tobramycin	MIC			0.5	<=	mg/L	susceptible	CLSI	
trimethoprim-sulfamethoxazole	MIC			8/152	>	mg/L	not defined	CLSI	
