Antibiotic	Laboratory typing method	Laboratory typing method version or reagent	Laboratory typing platform	Measurement	Measurement sign	Measurement units	Resistance phenotype	Testing standard	Vendor
amikacin	MIC			2	==	mg/L	susceptible	CLSI	
amoxicillin-clavulanic acid	MIC			32/16	==	mg/L	resistant	CLSI	
ampicillin	MIC			32	>	mg/L	resistant	CLSI	
ampicillin-sulbactam	MIC			32/16	>	mg/L	resistant	CLSI	
aztreonam	MIC			8	==	mg/L	intermediate	CLSI	
cefazolin	MIC			8	>	mg/L	resistant	CLSI	
cefepime	MIC			1	==	mg/L	susceptible	CLSI	
cefotaxime	MIC			2	==	mg/L	intermediate	CLSI	
cefoxitin	MIC			8	==	mg/L	susceptible	CLSI	
ceftazidime	MIC			4	==	mg/L	susceptible	CLSI	
ceftriaxone	MIC			32	>	mg/L	resistant	CLSI	
ciprofloxacin	MIC			0.25	<=	mg/L	susceptible	CLSI	
colistin	MIC			4	>	mg/L	not defined	CLSI	
doripenem	MIC			2	==	mg/L	intermediate	CLSI	
ertapenem	MIC			1	==	mg/L	intermediate	CLSI	
gentamicin	MIC			4	==	mg/L	susceptible	CLSI	
imipenem	MIC			4	==	mg/L	resistant	CLSI	
levofloxacin	MIC			0.5	==	mg/L	susceptible	CLSI	
meropenem	MIC			1	==	mg/L	susceptible	CLSI	
piperacillin-tazobactam	MIC			64/4	==	mg/L	resistant	CLSI	
polymyxin B	MIC			4	>	mg/L	not defined	CLSI	
tetracycline	MIC			8	==	mg/L	intermediate	CLSI	
tigecycline	MIC			0.5	<=	mg/L	susceptible	CLSI	
tobramycin	MIC			16	==	mg/L	resistant	CLSI	
trimethoprim-sulfamethoxazole	MIC			8/152	>	mg/L	resistant	CLSI	
