Antibiotic	Laboratory typing method	Laboratory typing method version or reagent	Laboratory typing platform	Measurement	Measurement sign	Measurement units	Resistance phenotype	Testing standard	Vendor
amikacin	MIC			4	==	mg/L	susceptible	CLSI	
amoxicillin-clavulanic acid	MIC			32/16	>	mg/L	resistant	CLSI	
ampicillin	MIC			32	>	mg/L	resistant	CLSI	
ampicillin-sulbactam	MIC			32/16	>	mg/L	resistant	CLSI	
aztreonam	MIC			32	==	mg/L	resistant	CLSI	
cefazolin	MIC			32	>	mg/L	resistant	CLSI	
cefepime	MIC			32	==	mg/L	resistant	CLSI	
cefotaxime	MIC			128	==	mg/L	resistant	CLSI	
cefoxitin	MIC			32	>	mg/L	resistant	CLSI	
ceftazidime	MIC			16	==	mg/L	resistant	CLSI	
ceftriaxone	MIC			64	==	mg/L	resistant	CLSI	
ciprofloxacin	MIC			0.25	==	mg/L	susceptible	CLSI	
colistin	MIC			0.5	==	mg/L	not defined	CLSI	
ertapenem	MIC			8	==	mg/L	resistant	CLSI	
gentamicin	MIC			0.25	<=	mg/L	susceptible	CLSI	
imipenem	MIC			8	==	mg/L	resistant	CLSI	
levofloxacin	MIC			0.25	<=	mg/L	susceptible	CLSI	
meropenem	MIC			16	==	mg/L	resistant	CLSI	
polymyxin B	MIC			1	==	mg/L	not defined	CLSI	
tetracycline	MIC			2	<=	mg/L	susceptible	CLSI	
tigecycline	MIC			0.5	==	mg/L	susceptible	CLSI	
tobramycin	MIC			8	==	mg/L	intermediate	CLSI	
trimethoprim-sulfamethoxazole	MIC			8/152	>	mg/L	resistant	CLSI	
